Complex_Name,Confidence_Score,Protein_Path,Ligand_Path
B4_16_octanaldehyde,-3.16,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_16_octanaldehyde/rank10_confidence-3.16.sdf
B4_39_4-nitrobenzaldehyde,-3.16,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_39_4-nitrobenzaldehyde/rank10_confidence-3.16.sdf
B2_17_nonanal,-3.18,/root/miniproject/DiffDock/proteinPDB/B2.pdb,/root/miniproject/results_batch/B2_17_nonanal/rank10_confidence-3.18.sdf
B7_4_malonaldehyde,-3.21,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_4_malonaldehyde/rank10_confidence-3.21.sdf
"B3_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-3.21,/root/miniproject/DiffDock/proteinPDB/B3.pdb,"/root/miniproject/results_batch/B3_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde/rank10_confidence-3.21.sdf"
B6_40_Furan-2-carbaldehyde,-3.21,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_40_Furan-2-carbaldehyde/rank10_confidence-3.21.sdf
B7_18_decanal,-3.24,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_18_decanal/rank10_confidence-3.24.sdf
B4_22_trans-2-Octenal,-3.28,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_22_trans-2-Octenal/rank10_confidence-3.28.sdf
B5_36_3-(4-Isopropylphenyl)-2-methylpropanal,-3.28,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_36_3-(4-Isopropylphenyl)-2-methylpropanal/rank10_confidence-3.28.sdf
B1_6_amylaldehyde,-3.33,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_6_amylaldehyde/rank10_confidence-3.33.sdf
B7_25_hexadecanal,-3.34,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_25_hexadecanal/rank10_confidence-3.34.sdf
